"","year","codigo","value_te","value_ed","value_mean_area","value_total_area"
"1",2001,2104909,0.014,2885.40807914263,3.73230769230768e-07,4.85199999999998e-06
"2",2001,1300508,6.234,133222.901933631,2.54590621599565e-08,4.679375625e-05
"3",2001,2101731,0.865999999999999,213441.450711754,1.14290669014084e-08,4.05731874999999e-06
"4",2001,1300300,11.5375,186445.116809482,1.86446162247665e-08,6.18814812499999e-05
"5",2001,2101707,4.3325,171088.003206543,1.58567470256732e-08,2.5323225e-05
"6",2001,1301852,3.345,185603.326988187,1.69064786585366e-08,1.802230625e-05
"7",2001,2101251,0.0835,16655.4882077648,1.39260069444444e-07,5.0133625e-06
"8",2001,1300144,12.34625,27763.8506428518,1.48575996074173e-07,0.00044468795625
"9",2001,2101202,1.684,122835.762786198,1.773526843467e-08,1.37093624999999e-05
"10",2001,2104701,0.376000000000001,169899.828010313,1.54760052447553e-08,2.21306875000001e-06
"11",2001,1301654,4.86875,78469.0022762055,5.53989229910713e-08,6.20467937499999e-05
"12",2001,2101103,0.183749999999999,111577.069773621,1.45738384955751e-08,1.64684374999998e-06
"13",2001,1300102,1.96575,41647.5325306795,5.21543370165745e-08,4.71996749999999e-05
"14",2001,2101004,1.217,135777.116897877,1.46218902936379e-08,8.96321875000004e-06
"15",2001,1300680,1.69375,80589.3310431291,3.28905320813773e-08,2.10170500000001e-05
"16",2001,2100956,2.74099999999999,110376.264874848,2.22121981216457e-08,2.48332374999998e-05
"17",2001,1300086,2.31849999999999,116195.918045167,2.19027099341382e-08,1.99533687499999e-05
"18",2001,2104677,5.37199999999999,638249.210653725,3.99088430535798e-09,8.41677499999998e-06
"19",2001,1300060,1.598,41291.8162811331,5.67451063049857e-08,3.87001625000002e-05
"20",2001,2100907,4.11749999999999,283212.440712606,1.07693009259259e-08,1.45385562499999e-05
"21",2001,2104503,0.734999999999999,206629.358588033,1.27494399641577e-08,3.55709374999999e-06
"22",2001,1508035,3.05149999999998,440866.273693946,6.17999999999992e-09,6.92159999999991e-06
"23",2001,1300029,3.41800000000001,71025.3782476726,4.50595915262174e-08,4.81236437500002e-05
"24",2001,2100808,1.2535,252957.966044403,1.10610909598215e-08,4.95536875000002e-06
"25",2001,2100709,0.243000000000002,29530.8558707385,5.63608304794528e-08,8.22868125000011e-06
"26",2001,2100600,7.43075000000002,118770.414726444,2.80807815305208e-08,6.25639812500003e-05
"27",2001,2104602,0.834,125125.298771345,1.90983345272206e-08,6.66531874999999e-06
"28",2001,2100873,2.03849999999999,311853.71100753,7.31176593959727e-09,6.53671874999996e-06
"29",2001,2100501,4.11575,44911.5344662881,7.65591217627403e-08,9.16412687500002e-05
"30",2001,2100204,0.307,25400.5420368111,7.1096213235294e-08,1.208635625e-05
"31",2001,2106375,6.98500000000001,883744.432117498,2.94261680938199e-09,7.90386875000003e-06
"32",2001,2100154,2.15924999999998,599261.070926789,5.42648719879508e-09,3.60318749999993e-06
"33",2001,2100105,0.6705,221654.72441921,1.11212316176471e-08,3.024975e-06
"34",2001,2100055,8.63374999999999,182395.566522822,1.88286818814638e-08,4.73353062499999e-05
"35",2001,2100832,0.0209999999999999,7478.21635637264,1.4779769736842e-07,2.80815624999998e-06
"36",2001,2101301,0.236,36928.5174999706,5.46215811965813e-08,6.39072500000001e-06
"37",2001,2100477,4.53074999999999,287987.452690358,8.50862966468358e-09,1.57324562499999e-05
"38",2001,1505635,12.791,472583.567366757,1.0267872723824e-08,2.70661125000001e-05
"39",2001,2101350,0.0289999999999999,5282.52996754206,2.49536079545453e-07,5.48979374999997e-06
"40",2001,1501600,6.03075000000003,1265302.91109362,2.99952800503464e-09,4.76625000000004e-06
"41",2001,1500131,5.11925000000001,1022473.49505728,4.28658497431508e-09,5.00673125000001e-06
"42",2001,1501303,4.01750000000001,377096.60255203,9.05932716836739e-09,1.06537687500001e-05
"43",2001,1500107,5.71700000000001,436711.828057607,7.01554796355844e-09,1.30910125000001e-05
"44",2001,1200708,13.0784999999999,296179.080944095,1.38947156230332e-08,4.41574062499997e-05
"45",2001,1501576,17.41425,758428.778418148,5.57710863492833e-09,2.29609562499999e-05
"46",2001,1200609,16.40225,98791.4799068038,4.40512055585037e-08,0.00016602899375
"47",2001,1500800,0.379500000000001,253422.370617696,1.31359649122808e-08,1.49750000000001e-06
"48",2001,1200500,18.21075,92998.9123443791,4.71393370847375e-08,0.00019581680625
"49",2001,1200435,1.18424999999999,23562.7476292691,1.33314108090184e-07,5.02594187499995e-05
"50",2001,1500701,1.1055,19653.2569040009,9.88580294376099e-08,5.625021875e-05
"51",2001,1200450,17.9324999999999,936654.694601348,4.63790273740303e-09,1.91452624999997e-05
"52",2001,1200401,28.6805,393283.040238818,9.41707773760329e-09,7.29258499999999e-05
"53",2001,1200427,7.28099999999996,288710.320174631,1.5821235884567e-08,2.52190499999997e-05
"54",2001,2101772,0.0484999999999996,40773.4342160575,3.6045454545454e-08,1.18949999999998e-06
"55",2001,1200393,4.94825,95208.3864961193,3.801963240673e-08,5.19728375e-05
"56",2001,1200807,17.86575,824597.973438814,5.48367818273854e-09,2.16660125e-05
"57",2001,1200385,12.3014999999999,769400.663839887,6.294653051181e-09,1.59884187499997e-05
"58",2001,1200351,5.38850000000002,80204.9069037559,3.86337945658428e-08,6.71841687500006e-05
"59",2001,1200302,14.17575,61573.8134453968,6.26629508029397e-08,0.00023022368125
"60",2001,2104552,0.692,137739.710263922,2.232875e-08,5.02396874999999e-06
"61",2001,1200203,10.64525,148518.926475441,2.66552807735217e-08,7.16760499999999e-05
